,Line A,Line B
0,1.521880874,1.484409773
2,1.531761964,1.497955061
3,1.532252896,1.513857252
4,1.480806398,1.506503586
5,1.476089114,1.48991587
6,1.497177335,1.501038582
7,1.521371347,1.500226513
8,1.498499221,1.483740232
9,1.476844896,1.477197185
10,1.479798246,1.496382728
11,1.500053276,1.479690107
12,1.521519592,1.494985593
13,1.53393197,1.491451919
14,1.532052829,1.501398419
15,1.51523648,1.512663038
16,1.524933461,1.484977287
17,1.496501036,1.507664586
18,1.503938111,1.511751774
19,1.56485775,1.494165754
20,1.501610376,1.502120258
21,1.540020956,1.487389641
22,1.49126755,1.490007931
23,1.511887921,1.506964816
24,1.482078202,1.514227164
25,1.51693735,1.509419602
27,1.49523872,1.499639534
28,1.47769183,1.488649724
29,1.518782116,1.501773573
30,1.513397118,1.489713723
31,1.533831772,1.491846991
32,1.475809463,1.505752363
33,1.519419825,1.50749407
34,1.49845872,1.496834066
35,1.48807098,1.493479973
37,1.501423906,1.476597772
38,1.47968361,1.497305204
39,1.472743257,1.496764945
40,1.511804907,1.485643844
41,1.536575743,1.507180642
42,1.523030934,1.504464419
43,1.526679036,1.503458652
44,1.491451336,1.501782359
45,1.522542616,1.506971878
46,1.51362682,1.488111737
47,1.524589371,1.503754353
48,1.504495644,1.499134727
49,1.501674841,1.505105799
50,1.503709401,1.496843912
51,1.48073392,1.499330702
52,1.519227207,1.517463529
53,1.505237706,1.487625728
54,1.506557112,1.491862739
55,1.455715682,1.513652025
56,1.496426316,1.517078707
57,1.482161394,1.502098774
58,1.479560957,1.489536666
59,1.506858127,1.499779347
60,1.474574407,1.508769108
61,1.536881284,1.499216935
62,1.495041196,1.494037376
63,1.514236024,1.50040407
64,1.47727158,1.484420004
65,1.498579368,1.51471112
66,1.497115123,1.504510043
67,1.456170909,1.486028905
68,1.502397259,1.504902196
69,1.489951601,1.494955569
70,1.521106268,1.503897456
71,1.509256232,1.493959526
72,1.50625351,1.495292427
73,1.522906403,1.477379199
74,1.481867377,1.488338725
75,1.460110434,1.498666881
76,1.534207393,1.503893332
77,1.524730446,1.495203639
78,1.535350019,1.509622303
79,1.524601901,1.514728652
80,1.461279488,1.502107679
81,1.487664117,1.480948438
82,1.521088454,1.493532749
83,1.524031411,1.507682968
84,1.508489087,1.503819916
85,1.488036338,1.505199324
86,1.495927946,1.487946284
87,1.518968521,1.50172694
88,1.530942152,1.478998527
89,1.499767521,1.523659616
90,1.521300628,1.502515257
91,1.490536591,1.503709173
92,1.485779826,1.495761938
93,1.519981489,1.517311445
94,1.47418768,1.497173273
95,1.494680758,1.474965372
96,1.510859378,1.498145889
97,1.504435697,1.489690892
98,1.478870307,1.481024924
99,1.506562216,1.509736237
100,1.469682462,1.476803631
101,1.516123144,1.504434426
102,1.513366708,1.496319814
103,1.503744282,1.509764901
104,1.485363763,1.499360681
105,1.470989795,1.479193883
106,1.526160209,1.483809406
107,1.487981061,1.494234936
108,1.502901663,1.46730298
109,1.504625924,1.503831649
110,1.501160524,1.47494475
111,1.53270398,1.499354096
112,1.484190703,1.478749686
113,1.50091538,1.494341031
114,1.513531531,1.489698823
115,1.484509217,1.501883114
116,1.497134493,1.516110699
117,1.50175246,1.480340241
118,1.507660386,1.493822337
119,1.488445594,1.500497667
120,1.490718304,1.505652747
121,1.512552719,1.481143413
123,1.525018543,1.486922284
124,1.508450377,1.475701032
125,1.470808876,1.48423951
126,1.500892979,1.507204252
127,1.487925315,1.499409
128,1.487508063,1.512672604
129,1.514183558,1.497796895
130,1.508999915,1.48771497
131,1.505884814,1.486055234
132,1.480683778,1.500883594
133,1.492397234,1.495435653
134,1.503314815,1.497474901
135,1.513397215,1.502034558
137,1.485271913,1.485047983
138,1.506508661,1.485237768
139,1.51435089,1.490660467
140,1.488502362,1.492386752
141,1.512035561,1.496853426
142,1.543181709,1.490490833
143,1.520664915,1.505442667
144,1.507239638,1.499518556
145,1.502652845,1.500362688
146,1.510187603,1.493379914
147,1.496518886,1.487562519
148,1.483334631,1.504911367
149,1.495016044,1.4924915
150,1.508581768,1.505688124
151,1.51770762,1.482223646
152,1.514640901,1.487585529
153,1.478494517,1.505501502
154,1.501123866,1.51639159
155,1.494793809,1.474246092
156,1.492154393,1.487061561
158,1.530067621,1.486013895
161,1.51911516,1.502816008
162,1.523920821,1.508822596
163,1.464797818,1.500787087
165,1.538550037,1.512504541
166,1.482792582,1.494317093
168,1.488099887,1.506729802
169,1.492179226,1.511250497
170,1.525188526,1.506019681
171,1.505506608,1.495636291
172,1.509717531,1.483688985
173,1.515263947,1.507623827
174,1.524188796,1.49790239
175,1.508110131,1.517162066
176,1.498901654,1.513976597
177,1.512824537,1.498328816
180,1.492249979,1.500936307
181,1.496798856,1.499220698
182,1.48878327,1.504342572
184,1.538991276,1.498154407
185,1.4939673,1.497056945
186,1.514015558,1.489207049
187,1.488626912,1.508620819
188,1.510633593,1.491813554
190,1.485075861,1.500337496
191,1.473962002,1.489782673
192,1.509748659,1.511534509
193,1.490080746,1.479631601
194,1.529897598,1.501309711
195,1.476467373,1.496916642
196,1.528733068,1.488519469
197,1.524293367,1.48819303
198,1.481101447,1.497635939
199,1.50946342,1.491737025
200,1.482318482,1.492851035
201,1.503628249,1.520986044
202,1.483903673,1.506264116
203,1.511902488,1.504632483
204,1.533405598,1.487788107
205,1.525038596,1.52752365
206,1.534883341,1.495780319
207,1.540732777,1.490266979
208,1.484498978,1.488368962
209,1.5005577,1.519024255
210,1.51222686,1.514392511
211,1.528507888,1.506273432
212,1.508511048,1.50758131
213,1.51706695,1.492680994
214,1.494591694,1.499048019
215,1.494724065,1.491049392
216,1.531006387,1.502850229
217,1.533366173,1.470922759
218,1.508705786,1.483791506
219,1.49810868,1.522095411
220,1.49694112,1.49000436
221,1.53634382,1.496308255
222,1.519718554,1.512143814
224,1.490299401,1.491153652
225,1.518177242,1.495596937
226,1.5091795,1.491982356
227,1.496557408,1.489750503
228,1.50365119,1.487465088
229,1.517027487,1.513396291
230,1.49053561,1.509927093
232,1.497270783,1.48872869
233,1.49966627,1.481282177
234,1.528208108,1.500939089
235,1.502428483,1.512259385
236,1.512223998,1.498927412
237,1.519452962,1.494160634
238,1.485442446,1.485635834
239,1.513943959,1.513964839
240,1.509707916,1.478056512
241,1.492039301,1.507822913
242,1.479956696,1.49082881
243,1.507801093,1.498265259
244,1.464836284,1.510170169
245,1.499085979,1.499441723
246,1.530951921,1.510335699
247,1.511957525,1.482870609
248,1.522169035,1.494934065
249,1.483914412,1.491535985
250,1.50398557,1.475543737
251,1.496332377,1.504439897
252,1.469118595,1.502178982
253,1.48776075,1.517003916
254,1.501213534,1.488645597
255,1.5077687,1.49464254
256,1.502685289,1.521770103
257,1.503929424,1.503063935
258,1.500353615,1.507321876
259,1.467683313,1.501929531
260,1.485979758,1.493737496
261,1.507798311,1.490957767
262,1.505447398,1.483457948
263,1.457296255,1.483455543
264,1.495661609,1.491530069
265,1.490883579,1.50406659
266,1.525449799,1.505653553
267,1.520446702,1.497273019
268,1.451945908,1.487343568
269,1.485257062,1.506473726
270,1.510805169,1.515346316
271,1.4773231,1.495679714
272,1.520248308,1.504435698
273,1.478118535,1.492316532
274,1.534996467,1.506287081
